gene_name,go_terms,cog_class,cog_letter,b_number,mass_fraction,dataset_name,strain,growth_rate_hr,carbon_source
aas,GO:0016874; GO:0016746; GO:0016740; GO:0016020; GO:0003824; GO:0008654; GO:0008152; GO:0006631; GO:0005886; GO:0016021; GO:0005524; GO:0000166; GO:0008779; GO:0008922,metabolism,Q,b2836,2.91e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
aat,GO:0016755; GO:0016746; GO:0016740; GO:0030163; GO:0005829; GO:0008914; GO:0005737,cellular processes and signaling,O,b0885,4.94e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
aceE,GO:0045250; GO:0042803; GO:0030976; GO:0000287; GO:0016491; GO:0003824; GO:0042802; GO:0004738; GO:0055114; GO:0046872; GO:0006096; GO:0005515; GO:0004739,metabolism,C,b0114,0.000446,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
aceF,GO:0030523; GO:0016407; GO:0016746; GO:0016740; GO:0006090; GO:0006086; GO:0045254; GO:0031405; GO:0006096; GO:0005737; GO:0005515; GO:0004742,metabolism,C,b0115,0.00033,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
ackA,GO:0000287; GO:0044011; GO:0006083; GO:0046872; GO:0016774; GO:0016740; GO:0016301; GO:0006082; GO:0005737; GO:0019542; GO:0019413; GO:0006085; GO:0008270; GO:0005524; GO:0000166; GO:0005829; GO:0016310; GO:0008776,metabolism,C,b2296,0.000305,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
acpP,GO:0008289; GO:0008610; GO:0006631; GO:0006629; GO:0005829; GO:0005515; GO:0042493; GO:0031177; GO:0009245; GO:0006633; GO:0005737; GO:0000036; GO:0000035,metabolism,Q,b1094,0.00982,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
acrB,GO:0042908; GO:0015299; GO:0055085; GO:0022857; GO:0015562; GO:0046677; GO:0030288; GO:0015567; GO:0015895; GO:0015908; GO:0042931; GO:0042930; GO:0015125; GO:0009636; GO:0015721; GO:1990281; GO:0042802; GO:0005515; GO:0005887; GO:0042493; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,V,b0462,0.000201,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
acs,GO:0006935; GO:0006476; GO:0005829; GO:0034421; GO:0033558; GO:0018394; GO:0016874; GO:0003824; GO:0046872; GO:0019427; GO:0016208; GO:0005524; GO:0000166; GO:0003987; GO:0050218; GO:0045733,metabolism,I,b4069,0.00134,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
ada,GO:0018125; GO:0045893; GO:0045892; GO:0005829; GO:0005515; GO:0016740; GO:0008168; GO:0008152; GO:0046872; GO:0043565; GO:0003700; GO:0080111; GO:0006355; GO:0006307; GO:0032259; GO:0008270; GO:0006974; GO:0003824; GO:0003677; GO:0003908; GO:0006281,information storage and processing,L,b2213,1.16e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
add,GO:0008270; GO:0046103; GO:0046101; GO:0019239; GO:0016787; GO:0043103; GO:0032261; GO:0015950; GO:0006154; GO:0009168; GO:0009117; GO:0006974; GO:0005829; GO:0046872; GO:0004000,metabolism,F,b1623,8.51e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
adk,GO:0046940; GO:0006165; GO:0004550; GO:0019205; GO:0016776; GO:0016740; GO:0016301; GO:0009165; GO:0006139; GO:0005737; GO:0000166; GO:0044209; GO:0006172; GO:0005829; GO:0016310; GO:0000287; GO:0016208; GO:0015951; GO:0005524; GO:0005515; GO:0004017,metabolism,F,b0474,0.000127,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
aer,GO:0005887; GO:0004888; GO:0006935; GO:0042802; GO:0052131; GO:0005886; GO:0016021; GO:0016020; GO:0007165,cellular processes and signaling,T,b3072,0.000215,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
aes,GO:0009056; GO:0016787; GO:0042803; GO:0034338; GO:0005829; GO:0005515; GO:0043433; GO:0051346; GO:0052689; GO:0008126; GO:0005737,metabolism,I,b0476,2.34e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
agp,GO:0006007; GO:0016311; GO:0016787; GO:0030288; GO:0042803; GO:0042597; GO:0008877; GO:0016158,Not Assigned,Not Assigned,b1002,0.000234,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
ahpF,GO:0005623; GO:0022900; GO:0009321; GO:0050660; GO:0016491; GO:0051287; GO:0045454; GO:0015035; GO:0009055; GO:0000302; GO:0008785; GO:0071949; GO:0055114; GO:0005829,cellular processes and signaling,V,b0606,0.000123,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
ahr,GO:0016616; GO:0005829; GO:0006631; GO:0006629; GO:0016491; GO:0008106; GO:0055114; GO:0046872; GO:0008270,metabolism,G,b4269,3.37e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
aidB,GO:0042802; GO:0006974; GO:0016627; GO:0016491; GO:0003995; GO:0005515; GO:0005737; GO:0045892; GO:0043565; GO:0055114; GO:0003677; GO:0008470,metabolism,I,b4187,3.61e-06,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
ais,GO:0016311; GO:0016791; GO:0008653; GO:0042597; GO:0016787,Not Assigned,Not Assigned,b2252,2.98e-06,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
alkB,GO:0005515; GO:0103053; GO:0055114; GO:0046872; GO:0016491; GO:0006974; GO:0080111; GO:0070989; GO:0043734; GO:0042245; GO:0035553; GO:0035552; GO:0035515; GO:0051213; GO:0006307; GO:0008198; GO:0006281,information storage and processing,L,b2212,3.4e-06,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
alr,GO:0042803; GO:0071555; GO:0005829; GO:0016853; GO:0003824; GO:0030170; GO:0006522; GO:0030632; GO:0009252; GO:0008360; GO:0008784,cellular processes and signaling,M,b4053,8e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
alx,GO:0071467; GO:0016021; GO:0016020; GO:0005886,metabolism,P,b3088,1.6e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
amn,GO:0046033; GO:0016787; GO:0003824; GO:0009116; GO:0044209; GO:0005829; GO:0042802; GO:0008152; GO:0008714,metabolism,F,b1982,9.67e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
ansA,GO:0016787; GO:0008152; GO:0006520; GO:0003824; GO:0005829; GO:0033345; GO:0042802; GO:0004067; GO:0005737,cellular processes and signaling,U,b1767,5.31e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
ansB,GO:0032991; GO:0006530; GO:0042802; GO:0042597; GO:0016787; GO:0006528; GO:0006520; GO:0030288; GO:0004067,cellular processes and signaling,U,b2957,7.51e-06,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
apt,GO:0042803; GO:0016757; GO:0016740; GO:0005737; GO:0009116; GO:0044209; GO:0000287; GO:0005829; GO:0006168; GO:0006166; GO:0003999,metabolism,F,b0469,0.000145,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
arcB,GO:0005886; GO:0016021; GO:0004721; GO:0070482; GO:0005887; GO:0005829; GO:0000155; GO:0005524; GO:0000166; GO:0046777; GO:0006355; GO:0004673; GO:0007165; GO:0016020; GO:0016301; GO:0016310; GO:0016740; GO:0016772; GO:0018106; GO:0023014; GO:0000160,cellular processes and signaling,T,b3210,6.99e-05,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
argF,GO:0019240; GO:0042450; GO:0016743; GO:0016740; GO:0046872; GO:0016597; GO:0006591; GO:0006520; GO:0006974; GO:0005829; GO:0008652; GO:0004585; GO:0006526; GO:0005737,metabolism,E,b0273,0.0,Balakrishnan et al. 2022,NQ1390,0.3,0.2% glucose (c limitation)
