gene_name,condition,growth_rate_hr,annotation,cog_category,cog_class,cog_letter,dataset,strain,mass_frac,go_terms,cog_desc,dataset_name
yehB,gluconate_growth,0.6630116912775283,"P pilus assembly protein, porin PapC",Cellular Processes and Signaling,cellular processes and signaling,W,calgar_2017,REL606,8.9989548391699e-06,GO:0055085; GO:0009297; GO:0006974; GO:0043711; GO:0015473; GO:0016021; GO:0016020; GO:0009279,predicted outer membrane protein,Caglar et al. 2017
carA,gluconate_growth,0.6630116912775283,Carbamoylphosphate synthase small subunit,Metabolism,metabolism,E,calgar_2017,REL606,0.0005211829504613316,GO:0006807; GO:0008652; GO:0044205; GO:0005951; GO:0006207; GO:0005737; GO:0000166; GO:0005829; GO:0016874; GO:0006541; GO:0005524; GO:0005515; GO:0004088; GO:0006526; GO:0006221,carbamoyl-phosphate synthase small subunit,Caglar et al. 2017
carA,gluconate_growth,0.6630116912775283,Carbamoylphosphate synthase small subunit,Metabolism,metabolism,E,calgar_2017,REL606,0.0006343079319568145,GO:0006807; GO:0008652; GO:0044205; GO:0005951; GO:0006207; GO:0005737; GO:0000166; GO:0005829; GO:0016874; GO:0006541; GO:0005524; GO:0005515; GO:0004088; GO:0006526; GO:0006221,carbamoyl-phosphate synthase small subunit,Caglar et al. 2017
carA,gluconate_growth,0.6630116912775283,Carbamoylphosphate synthase small subunit,Metabolism,metabolism,E,calgar_2017,REL606,0.0004040177910552958,GO:0006807; GO:0008652; GO:0044205; GO:0005951; GO:0006207; GO:0005737; GO:0000166; GO:0005829; GO:0016874; GO:0006541; GO:0005524; GO:0005515; GO:0004088; GO:0006526; GO:0006221,carbamoyl-phosphate synthase small subunit,Caglar et al. 2017
carA,gluconate_growth,0.6630116912775283,Carbamoylphosphate synthase small subunit,Metabolism,metabolism,E,calgar_2017,REL606,0.0004040177910552958,GO:0006807; GO:0008652; GO:0044205; GO:0005951; GO:0006207; GO:0005737; GO:0000166; GO:0005829; GO:0016874; GO:0006541; GO:0005524; GO:0005515; GO:0004088; GO:0006526; GO:0006221,carbamoyl-phosphate synthase small subunit,Caglar et al. 2017
carB,gluconate_growth,0.6630116912775283,Carbamoylphosphate synthase large subunit (split gene in MJ),Metabolism,metabolism,E,calgar_2017,REL606,0.002286800377054403,GO:0006541; GO:0005737; GO:0005829; GO:0016874; GO:0006807; GO:0044205; GO:0004087; GO:0005951; GO:0019856; GO:0016597; GO:0046872; GO:0008652; GO:0005524; GO:0005515; GO:0000166; GO:0004088; GO:0006526; GO:0006221,carbamoyl-phosphate synthase large subunit,Caglar et al. 2017
carB,gluconate_growth,0.6630116912775283,Carbamoylphosphate synthase large subunit (split gene in MJ),Metabolism,metabolism,E,calgar_2017,REL606,0.002321274754597937,GO:0006541; GO:0005737; GO:0005829; GO:0016874; GO:0006807; GO:0044205; GO:0004087; GO:0005951; GO:0019856; GO:0016597; GO:0046872; GO:0008652; GO:0005524; GO:0005515; GO:0000166; GO:0004088; GO:0006526; GO:0006221,carbamoyl-phosphate synthase large subunit,Caglar et al. 2017
carB,gluconate_growth,0.6630116912775283,Carbamoylphosphate synthase large subunit (split gene in MJ),Metabolism,metabolism,E,calgar_2017,REL606,0.0024936466423156056,GO:0006541; GO:0005737; GO:0005829; GO:0016874; GO:0006807; GO:0044205; GO:0004087; GO:0005951; GO:0019856; GO:0016597; GO:0046872; GO:0008652; GO:0005524; GO:0005515; GO:0000166; GO:0004088; GO:0006526; GO:0006221,carbamoyl-phosphate synthase large subunit,Caglar et al. 2017
carB,gluconate_growth,0.6630116912775283,Carbamoylphosphate synthase large subunit (split gene in MJ),Metabolism,metabolism,E,calgar_2017,REL606,0.002516629560677961,GO:0006541; GO:0005737; GO:0005829; GO:0016874; GO:0006807; GO:0044205; GO:0004087; GO:0005951; GO:0019856; GO:0016597; GO:0046872; GO:0008652; GO:0005524; GO:0005515; GO:0000166; GO:0004088; GO:0006526; GO:0006221,carbamoyl-phosphate synthase large subunit,Caglar et al. 2017
caiC,gluconate_growth,0.6630116912775283,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II,Metabolism,metabolism,Q,calgar_2017,REL606,5.710428863992438e-06,GO:0016405; GO:0005829; GO:0005515; GO:0016874; GO:0003824; GO:0016878; GO:0009437; GO:0051108; GO:0051109,probable crotonobetaine/carnitine-CoA ligase,Caglar et al. 2017
caiC,gluconate_growth,0.6630116912775283,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II,Metabolism,metabolism,Q,calgar_2017,REL606,5.710428863992438e-06,GO:0016405; GO:0005829; GO:0005515; GO:0016874; GO:0003824; GO:0016878; GO:0009437; GO:0051108; GO:0051109,probable crotonobetaine/carnitine-CoA ligase,Caglar et al. 2017
leuB,gluconate_growth,0.6630116912775283,Isocitrate/isopropylmalate dehydrogenase,Metabolism,metabolism,C,calgar_2017,REL606,0.0003044290779564669,GO:0030145; GO:0016616; GO:0016491; GO:0009082; GO:0008652; GO:0051287; GO:0000287; GO:0005829; GO:0034198; GO:0055114; GO:0046872; GO:0005737; GO:0009098; GO:0003862,3-isopropylmalate dehydrogenase (EC 1.1.1.85),Caglar et al. 2017
leuB,gluconate_growth,0.6630116912775283,Isocitrate/isopropylmalate dehydrogenase,Metabolism,metabolism,C,calgar_2017,REL606,0.000373792665338953,GO:0030145; GO:0016616; GO:0016491; GO:0009082; GO:0008652; GO:0051287; GO:0000287; GO:0005829; GO:0034198; GO:0055114; GO:0046872; GO:0005737; GO:0009098; GO:0003862,3-isopropylmalate dehydrogenase (EC 1.1.1.85),Caglar et al. 2017
