gene_name,b_number,condition,cog_class,cog_category,cog_letter,gene_product,growth_rate_hr,dataset_name,strain,mass_frac
isph,b0029,M9_glucose,metabolism,lipid transport and metabolism,I,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,0.6931471805599453,Soufi et al. 2015,BW25113,5.005967487724694e-05
upps,b0174,M9_glucose,metabolism,lipid transport and metabolism,I,"ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]",0.6931471805599453,Soufi et al. 2015,BW25113,8.428943375042207e-06
phoe,b0241,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,outer membrane porin PhoE,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
malz,b0403,M9_glucose,metabolism,carbohydrate transport and metabolism,G,maltodextrin glucosidase,0.6931471805599453,Soufi et al. 2015,BW25113,4.414247629511558e-06
fes,b0585,M9_glucose,metabolism,inorganic ion transport and metabolism,P,ferric enterobactin esterase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0005021651713660507
ente,b0594,M9_glucose,metabolism,"secondary metabolites biosynthesis, transport, and catabolism",Q,"2,3-dihydroxybenzoate-AMP ligase",0.6931471805599453,Soufi et al. 2015,BW25113,0.0005995760053121314
tate,b0627,M9_glucose,Not Assigned,Not Assigned,Not Assigned,twin arginine protein translocation system - TatE protein,0.6931471805599453,Soufi et al. 2015,BW25113,5.975026422672284e-06
kdpb,b0697,M9_glucose,metabolism,inorganic ion transport and metabolism,P,K+ transporting P-type ATPase subunit KdpB,0.6931471805599453,Soufi et al. 2015,BW25113,3.888532256300015e-06
suca,b0726,M9_glucose,metabolism,energy production and conversion,C,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0016278508882629373
sucb,b0727,M9_glucose,metabolism,energy production and conversion,C,"SucB-dihydrolipoate // ""SucB-S-succinyldihydrolipoate"" // ""SucB-lipoate"" // ""dihydrolipoyltranssuccinylase""",0.6931471805599453,Soufi et al. 2015,BW25113,0.0006934703667428508
faba,b0954,M9_glucose,metabolism,lipid transport and metabolism,I,&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0005034321638237963
opgg,b1048,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,osmoregulated periplasmic glucans (OPGs) biosynthesis protein G,0.6931471805599453,Soufi et al. 2015,BW25113,0.0007185476176325962
rne,b1084,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,ribonuclease E,0.6931471805599453,Soufi et al. 2015,BW25113,0.001304707925341211
rlue,b1135,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA pseudouridine2457 synthase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
hlye,b1182,M9_glucose,Not Assigned,Not Assigned,Not Assigned,hemolysin E,0.6931471805599453,Soufi et al. 2015,BW25113,2.34926154140985e-07
rlub,b1269,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA pseudouridine2605 synthase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00010051016593322259
opgd,b1424,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,glucan biosynthesis protein D,0.6931471805599453,Soufi et al. 2015,BW25113,6.566658532122945e-05
rsxg,b1631,M9_glucose,metabolism,energy production and conversion,C,SoxR [2Fe-2S] reducing system protein RsxG,0.6931471805599453,Soufi et al. 2015,BW25113,1.5954168096852508e-05
yoba,b1841,M9_glucose,metabolism,inorganic ion transport and metabolism,P,CopC domain-containing protein,0.6931471805599453,Soufi et al. 2015,BW25113,9.583225617772145e-05
sbmc,b2009,M9_glucose,information storage and processing,"Replication, recombination, and repair",L,DNA gyrase inhibitor,0.6931471805599453,Soufi et al. 2015,BW25113,3.449714453463723e-05
rsua,b2183,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,16S rRNA pseudouridine516 synthase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0001407630657757978
nuoe,b2285,M9_glucose,metabolism,energy production and conversion,C,NADH:quinone oxidoreductase subunit E,0.6931471805599453,Soufi et al. 2015,BW25113,7.297717952536468e-05
